municipality,id,n,mean_age,mean_gross_income_percentile,prop_female,prop_both_parents_abroad,prop_one_parent_abroad,prop_vocational_edu,prop_higher_vocational_edu,prop_bachelor_edu,prop_master_doctorate_edu,n_female,n_both_parents_abroad,n_one_parent_abroad,n_vocational_edu,n_higher_vocational_edu,n_bachelor_edu,n_master_doctorate_edu
Almere,302,214313,41.87378740440384,52.376530166132326,0.5041038107814272,0.34167316028425715,0.10468800306094357,0.14011749170605609,0.3384395720278285,0.15613145259503622,0.06613224582736466,108036,73225,22436,30029,72532,33461,14173
Alphen aan den Rijn,234,112439,45.681133770311014,52.79332082884763,0.5017387205506986,0.1453854979144247,0.06648049164435828,0.13313885751385196,0.3327848878058325,0.17157747756561337,0.07814014710198419,56415,16347,7475,14970,37418,19292,8786
Alphen-Chaam,110,10353,48.58253646286101,51.78158080451659,0.49222447599729546,0.061334878779097844,0.08432338452622429,0.12035158891142664,0.3287935864000773,0.1995556843427026,0.08664155317299334,5096,635,873,1246,3404,2066,897
Altena,300,56304,45.49550653594771,50.52898042322055,0.49669650468883203,0.05004973003694231,0.02871909633418585,0.15302642796248933,0.34560599602159703,0.13990125035521456,0.04818485365160557,27966,2818,1617,8616,19459,7877,2713
Ameland,243,3737,47.75648916242976,46.98248459292896,0.49638747658549637,0.04977254482204977,0.03237891356703238,0.1345999464811346,0.377040406743377,0.15145838908215145,0.0280974043350281,1855,186,121,503,1409,566,105
Amersfoort,201,157167,43.54903383025699,54.499671961186124,0.5057995635216044,0.17310885872988604,0.08060852469029758,0.11433061647801383,0.2711828819026895,0.19927847448891942,0.1373698040937347,79495,27207,12669,17969,42621,31320,21590
Amstelveen,319,90637,45.233657336407866,55.386359971265634,0.5181548374284233,0.36431038097024393,0.10365524013372023,0.0999150457318755,0.25256793583194503,0.1714421262839679,0.17496166024912563,46964,33020,9395,9056,22892,15539,15858
Amsterdam,128,867738,42.26988486089615,52.59690646014126,0.5039643302471484,0.4570388757896969,0.10363151089384123,0.09933067354431868,0.24219291998275977,0.18835063118130127,0.2087265971986936,437309,396590,89925,86193,210160,163439,181120
Apeldoorn,14,164459,46.83682863206027,50.55022508136387,0.501444128931831,0.11972588912738129,0.0641193245732979,0.1401078688305292,0.32459153953264946,0.1702916836415155,0.0791869098073076,82467,19690,10545,23042,53382,28006,13023
Arnhem,222,162057,43.61566609279451,49.35375381469369,0.499058973077374,0.24227278056486298,0.09028304855698921,0.1286152403166787,0.3022393355424326,0.19000721968196374,0.10775221064193463,80876,39262,14631,20843,48980,30792,17462
Assen,22,68706,46.52135184700026,49.382787411689144,0.5050505050505051,0.10700666608447588,0.057738770995255144,0.1345879544726807,0.35618432160218905,0.17780106540913457,0.06834919803219515,34700,7352,3967,9247,24472,12216,4696
Asten,261,16794,47.707812313921636,48.769546732002595,0.4885078004049065,0.08062403239252114,0.031261164701679174,0.14469453376205788,0.34821960223889487,0.17089436703584612,0.06174824342026915,8204,1354,525,2430,5848,2870,1037
Baarle-Nassau,13,6890,50.45123367198839,48.57485775248933,0.4984034833091437,0.09666182873730043,0.16124818577648767,0.14586357039187228,0.35239477503628447,0.1632801161103048,0.054862119013062406,3434,666,1111,1005,2428,1125,378
Baarn,303,24767,48.723866435175836,53.46612296110414,0.5145152824322687,0.1014656599507409,0.0844268583195381,0.11733354867363831,0.2824726450518836,0.18306617676747286,0.13558363952032948,12743,2513,2091,2906,6996,4534,3358
Barendrecht,287,48589,45.04698594332051,54.83868586194168,0.5080367984523246,0.18055526971125152,0.08045030768280886,0.13229331741752248,0.31050237708123235,0.17610981909485687,0.08565724752516002,24685,8773,3909,6428,15087,8557,4162
Barneveld,263,59908,42.05687053482006,50.031618006488024,0.5009848434265874,0.06181144421446218,0.028877612338919677,0.1380450023369166,0.32723509381050947,0.13694331308005608,0.049943246311010214,30013,3703,1730,8270,19604,8204,2992
Beek,231,15847,50.58749290086452,50.27710933975034,0.5127784438695021,0.078058938600366,0.07370480217075787,0.13516753959740013,0.3376664352874361,0.1942954502429482,0.08670410803306619,8126,1237,1168,2142,5351,3079,1374
