decile,utility_mean,age_mean,edge_count,filename
3,0.0001350658613730512,7.159188570377883,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
4,0.0002785027438028327,11.002911739028105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
5,0.0003445843472513319,15.847499118138561,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
6,0.00037859198456884286,21.64782410681169,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
7,0.00035561821665252837,28.076305454123105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
8,0.0002594289278667953,35.982288839936636,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
9,0.00031630152792382635,53.804837620172485,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_age_edge_similarity.csv
0,-0.0002545873321165923,0.41966539536657727,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
1,-0.00017911135440828373,1.8232675008681491,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
2,-0.00009784126486637215,4.053653315954278,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
3,-0.00011431761268603613,7.159188570377883,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
4,-0.00018670057122248005,11.002911739028105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
5,-0.0002626765188230015,15.847499118138561,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
6,-0.0003131978070193077,21.64782410681169,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
7,-0.0002701197690348939,28.076305454123105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
8,-0.00026454678819515335,35.982288839936636,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
9,-0.0003643984754586709,53.804837620172485,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim20_age_edge_similarity.csv
0,0.00033238538478025235,0.41966539536657727,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
1,0.0002722445207330402,1.8232675008681491,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
2,0.0001539445079184639,4.053653315954278,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
3,0.00008387569664285803,7.159188570377883,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
4,0.00007986152247191404,11.002911739028105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
5,0.00008907433156125101,15.847499118138561,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
6,0.00009480023621360994,21.64782410681169,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
7,0.00011834415903539835,28.076305454123105,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
8,0.00019422228826360014,35.982288839936636,286603982,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
9,0.0002615076881530656,53.804837620172485,286603981,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim27_age_edge_similarity.csv
