education,utility_mean,utility_sd,edge_count,decile_0,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,filename
3,0.00004098788006669658,0.004694315361258621,95844504,-0.005253551563196142,-0.0042845905016146366,-0.0035544995121597487,-0.0028030275368423406,-0.0019428072219320502,-0.0008683362135220589,0.0005939894445173248,0.0027083976764386447,0.005657236584025672,0.010157067583397556,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_education_edge_similarity.csv
4,-0.00008883684447270367,0.004720526099979717,39234288,-0.0054207613889712914,-0.004463275591311383,-0.00373780170847115,-0.002985701875283148,-0.0021155855770176356,-0.0010087650889962177,0.00052295031570549,0.002712868544301596,0.005630209168415905,0.00997749596360237,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_education_edge_similarity.csv
0,-0.0005680113624989036,0.0040946050587318565,733988664,-0.0056465355454966715,-0.004532902520143624,-0.003737656149384016,-0.0029273284986177364,-0.0020278329148703026,-0.0009847466657102338,0.0002682830567678342,0.001842765276161088,0.0039965312585863175,0.008069309067198506,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
1,-0.0005104597094419833,0.004015161492421467,589855544,-0.005496574624593061,-0.0044000896144225695,-0.0036204224078921713,-0.002824910267634141,-0.0019412606316181198,-0.0009162073260777873,0.0003146016154187268,0.001859401262920887,0.003967706330753436,0.007953158555796093,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
2,-0.00037848601435597483,0.004106686580097515,314502056,-0.005474752306608524,-0.0043729533990167595,-0.0035875490538548153,-0.002774575850435404,-0.001860045826056411,-0.0007903789014830757,0.0004953093188490033,0.0020977091098378703,0.004255972191531663,0.008226404636837369,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
3,-0.0005046140015598336,0.004089625320679734,95844504,-0.00550935946033088,-0.004471987485813505,-0.003711085128202125,-0.0029152658761639164,-0.002010374596522537,-0.0009425708046221464,0.0003487750120790302,0.001959733078646997,0.004119371430929457,0.008086623734569543,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
4,-0.0008845326805809572,0.004003371813526053,39234288,-0.00568764933623371,-0.0047003643117170405,-0.003980346826568218,-0.0032346271808906917,-0.0023893924678963473,-0.0013845227355576421,-0.0001496327852896013,0.0014286470169479586,0.0035974802325076595,0.007655082541241962,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
0,-0.0002600488203961002,0.004448116237740306,733988664,-0.005558051956182697,-0.004427997982409118,-0.003638551164368594,-0.0028408179431686836,-0.0019511375431231618,-0.0008979448476148524,0.0004229346509459584,0.0021877555265579847,0.004735709254614522,0.009367613792492216,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_education_edge_similarity.csv
1,-0.00005277098751144675,0.0044280782917358935,589855544,-0.005358713931982652,-0.004256033398621036,-0.003454289239731733,-0.0026375017130173864,-0.0017261495050637883,-0.0006493171557608633,0.0006893382621525017,0.002454430333249997,0.004965000275871403,0.009445526186176018,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_education_edge_similarity.csv
2,0.00016016655124503033,0.004516781141969879,314502056,-0.005286143100564414,-0.004180403191083527,-0.0033520841143568057,-0.002500025175263397,-0.0015448781288095526,-0.0004159624340334298,0.0009826534874848468,0.0028069371303834608,0.005344408919985395,0.009747162191931958,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim18_education_edge_similarity.csv
